azim,zen,trrot,aoi,truetrack,backtrack
194.7952314,128.4898761,65.13350728,90,65.13350728,0
176.9870532,129.8702707,-84.86649272,90,-84.86649272,0
159.5979291,127.157556,-84.86649272,77.28497964,-84.86649272,0
144.6462054,120.9152399,-84.86649272,63.5097816,-84.86649272,0
132.6664064,112.1156221,-84.86649272,50.01217831,-84.86649272,0
123.1976393,101.623499,-84.86649272,37.20754607,-84.86649272,0
115.5472954,89.5528432,-46.96634066,49.20976334,-84.86649272,37.90015206
109.1070837,77.67433117,-77.72743688,19.14047657,-77.72743688,0
103.3823035,64.95853604,-64.79986265,13.06570446,-64.79986265,0
97.91112398,51.91862253,-51.8655442,7.605564855,-51.8655442,0
92.07421708,38.69583522,-38.73057667,3.043982107,-38.73057667,0
84.43912765,25.42703286,-25.29944402,0.36044677,-25.29944402,0
68.2774107,12.48181127,-11.5929346,2.394888776,-11.5929346,0
336.2998156,5.635531955,2.265088772,2.921631086,2.265088772,0
284.317302,16.61471737,16.09356171,1.903611089,16.09356171,0
272.7343494,29.75858761,29.72301772,0.587621972,29.72301772,0
265.9694363,43.03486364,43.0593435,4.38671188,43.0593435,0
260.3483846,56.21588216,56.11926927,9.262866156,56.11926927,0
254.8527914,69.17453753,27.23335522,43.92519144,65.13350728,37.90015206
248.9491429,81.74280166,27.23335522,57.45925504,65.13350728,37.90015206
242.1781421,93.95400074,65.13350728,40.19282849,65.13350728,0
234.0122038,105.2464865,65.13350728,53.95095945,65.13350728,0
223.8007076,115.2825926,65.13350728,67.81151548,65.13350728,0
210.8642611,123.3747766,65.13350728,81.61850717,65.13350728,0
194.9586962,128.5856168,65.13350728,90,65.13350728,0
177.1096634,129.9996427,-84.86649272,90,-84.86649272,0
159.6642449,127.3087154,-84.86649272,77.37879379,-84.86649272,0
144.6624251,121.0749428,-84.86649272,63.58876522,-84.86649272,0
132.6475077,112.2751645,-84.86649272,50.07135054,-84.86649272,0
123.1555243,101.7788087,-84.86649272,37.23597608,-84.86649272,0
115.4883479,89.6800391,-46.96634066,49.29714689,-84.86649272,37.90015206
109.0331984,77.81747015,-77.88135516,19.07302745,-77.88135516,0
103.291695,65.09708659,-64.94714342,12.99253514,-64.94714342,0
97.79783061,52.05305211,-52.00580067,7.523665274,-52.00580067,0
91.9252253,38.82778284,-38.86295978,2.951061652,-38.86295978,0
84.22599865,25.56031222,-25.42226362,0.465776876,-25.42226362,0
67.96336661,12.6287206,-11.70396816,2.512942823,-11.70396816,0
